Country Name,Country Code,Series Name_stability,Series Code_stability,Year,Political_Stability,Series Name_fdi,Series Code_fdi,FDI,Stability_Group
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-2.06750988960266,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.36867310434287,Low Stability
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-0.505047976970673,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.17899814544722,Low Stability
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-0.913666009902954,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.07990333031144,Low Stability
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.746284067630768,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,8.465508143815654,High Stability
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,1.38492727279663,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,8.465508143815654,High Stability
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-0.885178327560425,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-3.52665717856752,Low Stability
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.830512523651123,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,10.8186629996336,High Stability
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-0.0417749434709549,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.64935441452167,Low Stability
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-0.0663353949785233,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,5.96010687349521,Low Stability
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,1.37641596794128,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-8.80493563521364,High Stability
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.8917076587677,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-3.60692792508377,High Stability
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,1.10395002365112,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,25.8307026071969,High Stability
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-1.12481939792633,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,33.7957978256418,Low Stability
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.93814343214035,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,5.72797116772737,High Stability
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.0141627388074994,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,6.56659445840229,High Stability
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-1.86383938789368,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.17065167448603,Low Stability
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,1.11291885375977,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,10.2123680027307,High Stability
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.360231071710587,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.01489264466989,High Stability
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.79377418756485,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,8.72717720186463,High Stability
Belize,BLZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.104911744594574,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,8.60425546100295,High Stability
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.449746280908585,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.133820369489742,High Stability
Bermuda,BMU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,0.819073557853699,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.897674181658031,High Stability
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,1.28448736667633,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.721867150911614,High Stability
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-0.971029877662659,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-2.49886824544741,Low Stability
Bosnia and Herzegovina,BIH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-0.500624358654022,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,5.55844401745043,Low Stability
Botswana,BWA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,1.06357252597809,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.24294905100869,High Stability
Brazil,BRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,2005,-0.263379752635956,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.73389354602718,Low Stability
